t,l,u,R,v,phi,x,y
0,0,0,3.6e+07,0,0,3.6e+07,0
2.39318e+09,0.00628319,0.0313953,3.60118e+07,0.0627751,0.0659139,3.59336e+07,2.37196e+06
4.78636e+09,0.0125664,0.0626678,3.60471e+07,0.125213,0.131473,3.5736e+07,4.7256e+06
7.17954e+09,0.0188496,0.0936996,3.61053e+07,0.18699,0.196339,3.54116e+07,7.04342e+06
9.57272e+09,0.0251327,0.124382,3.61854e+07,0.247809,0.260199,3.49674e+07,9.30954e+06
1.19659e+10,0.0314159,0.154618,3.62863e+07,0.30741,0.322781,3.44124e+07,1.15102e+07
1.43591e+10,0.0376991,0.184327,3.64066e+07,0.365576,0.383854,3.37572e+07,1.36342e+07
1.67523e+10,0.0439823,0.213444,3.65446e+07,0.422133,0.443239,3.30132e+07,1.56728e+07
1.91454e+10,0.0502655,0.241916,3.66989e+07,0.476954,0.500802,3.21922e+07,1.76202e+07
2.15386e+10,0.0565487,0.269711,3.68676e+07,0.529954,0.556452,3.13056e+07,1.94726e+07
2.39318e+10,0.0628319,0.296805,3.70494e+07,0.581084,0.610138,3.03645e+07,2.12286e+07
2.6325e+10,0.069115,0.323188,3.72425e+07,0.630327,0.661844,2.93792e+07,2.28882e+07
2.87182e+10,0.0753982,0.348858,3.74457e+07,0.677694,0.711578,2.83588e+07,2.44531e+07
3.11114e+10,0.0816814,0.373823,3.76575e+07,0.723213,0.759374,2.73117e+07,2.5926e+07
3.35045e+10,0.0879646,0.398095,3.78768e+07,0.766932,0.805279,2.62452e+07,2.731e+07
3.58977e+10,0.0942478,0.421691,3.81024e+07,0.808907,0.849352,2.51655e+07,2.86093e+07
3.82909e+10,0.100531,0.44463,3.83335e+07,0.849203,0.891663,2.4078e+07,2.9828e+07
4.06841e+10,0.106814,0.466936,3.85692e+07,0.887891,0.932285,2.29872e+07,3.09704e+07
4.30773e+10,0.113097,0.488632,3.88086e+07,0.925042,0.971294,2.1897e+07,3.2041e+07
4.54704e+10,0.119381,0.509743,3.90511e+07,0.96073,1.00877,2.08105e+07,3.30441e+07
4.78636e+10,0.125664,0.530292,3.92962e+07,0.995027,1.04478,1.97304e+07,3.39839e+07
5.02568e+10,0.131947,0.550304,3.95432e+07,1.02801,1.07941,1.86586e+07,3.48644e+07
5.265e+10,0.13823,0.569803,3.97918e+07,1.05973,1.11272,1.75969e+07,3.56895e+07
5.50432e+10,0.144513,0.588812,4.00416e+07,1.09028,1.14479,1.65467e+07,3.64628e+07
5.74363e+10,0.150796,0.607353,4.02921e+07,1.1197,1.17568,1.5509e+07,3.71877e+07
5.98295e+10,0.15708,0.625448,4.05432e+07,1.14806,1.20546,1.44846e+07,3.78675e+07
6.22227e+10,0.163363,0.643117,4.07945e+07,1.17541,1.23418,1.3474e+07,3.85051e+07
6.46159e+10,0.169646,0.660379,4.10458e+07,1.20182,1.26191,1.24778e+07,3.91032e+07
6.70091e+10,0.175929,0.677253,4.12969e+07,1.22732,1.28869,1.14962e+07,3.96645e+07
6.94023e+10,0.182212,0.693756,4.15476e+07,1.25198,1.31458,1.05292e+07,4.01913e+07
7.17954e+10,0.188496,0.709905,4.17978e+07,1.27582,1.33961,9.5771e+06,4.06858e+07
7.41886e+10,0.194779,0.725715,4.20474e+07,1.2989,1.36385,8.63974e+06,4.11502e+07
7.65818e+10,0.201062,0.741202,4.22962e+07,1.32125,1.38732,7.71706e+06,4.15863e+07
7.8975e+10,0.207345,0.756379,4.25442e+07,1.34292,1.41006,6.80893e+06,4.19958e+07
8.13682e+10,0.213628,0.771259,4.27912e+07,1.36392,1.43212,5.91517e+06,4.23804e+07
8.37613e+10,0.219911,0.785856,4.30372e+07,1.38431,1.45352,5.03557e+06,4.27416e+07
8.61545e+10,0.226195,0.80018,4.32821e+07,1.4041,1.4743,4.1699e+06,4.30808e+07
8.85477e+10,0.232478,0.814243,4.35259e+07,1.42333,1.49449,3.3179e+06,4.33993e+07
9.09409e+10,0.238761,0.828055,4.37686e+07,1.44202,1.51412,2.47931e+06,4.36983e+07
9.33341e+10,0.245044,0.841626,4.401e+07,1.4602,1.53321,1.65384e+06,4.39789e+07
9.57272e+10,0.251327,0.854967,4.42502e+07,1.47789,1.55178,841216,4.42422e+07
9.81204e+10,0.257611,0.868084,4.44891e+07,1.49512,1.56987,41144.5,4.4489e+07
1.00514e+11,0.263894,0.880988,4.47267e+07,1.5119,1.58749,-746662,4.47204e+07
1.02907e+11,0.270177,0.893686,4.4963e+07,1.52825,1.60466,-1.52249e+06,4.49372e+07
1.053e+11,0.27646,0.906186,4.51979e+07,1.5442,1.62141,-2.28664e+06,4.51401e+07
1.07693e+11,0.282743,0.918494,4.54316e+07,1.55976,1.63775,-3.03938e+06,4.53298e+07
1.10086e+11,0.289027,0.930618,4.56639e+07,1.57494,1.65369,-3.78099e+06,4.55071e+07
1.1248e+11,0.29531,0.942564,4.58948e+07,1.58977,1.66926,-4.51175e+06,4.56725e+07
1.14873e+11,0.301593,0.954338,4.61244e+07,1.60426,1.68447,-5.23194e+06,4.58267e+07
1.17266e+11,0.307876,0.965946,4.63527e+07,1.61842,1.69934,-5.9418e+06,4.59703e+07
1.19659e+11,0.314159,0.977393,4.65795e+07,1.63226,1.71387,-6.64161e+06,4.61036e+07
1.22052e+11,0.320442,0.988686,4.68051e+07,1.6458,1.72809,-7.33161e+06,4.62273e+07
1.24445e+11,0.326726,0.999828,4.70293e+07,1.65904,1.74199,-8.01204e+06,4.63418e+07
1.26839e+11,0.333009,1.01083,4.72521e+07,1.67201,1.75561,-8.68314e+06,4.64475e+07
1.29232e+11,0.339292,1.02168,4.74736e+07,1.6847,1.76894,-9.34515e+06,4.65447e+07
1.31625e+11,0.345575,1.0324,4.76938e+07,1.69714,1.782,-9.99828e+06,4.6634e+07
1.34018e+11,0.351858,1.04299,4.79126e+07,1.70933,1.79479,-1.06428e+07,4.67157e+07
1.36411e+11,0.358142,1.05345,4.81302e+07,1.72127,1.80734,-1.12788e+07,4.679e+07
1.38805e+11,0.364425,1.06378,4.83464e+07,1.73298,1.81963,-1.19066e+07,4.68573e+07
1.41198e+11,0.370708,1.074,4.85613e+07,1.74447,1.83169,-1.25263e+07,4.69179e+07
1.43591e+11,0.376991,1.0841,4.87749e+07,1.75574,1.84353,-1.31382e+07,4.69721e+07
